연도,시도,학제,학급수,학급수_특수,학생수,학업중단자_전체,자퇴_전체,전출_전체,전입_전체,학업중단률_급,다문화학생_계,국제결혼_국내출생_전체,국제결혼_중도입국_전체,외국인가정_전체,해외출국_급,학생1인당_교지면적,학생1인당_건물면적,일반교실수,교과교실수,특별교실수,학급당_학생수_급,특수학급_비율_급,다문화_비율_급,중도입국_비율_급,외국인가정_비율_급,해외출국_비율_급,자퇴_비율_급,교실_학생당,GRDP_1인당,사교육_참여율,사교육비_1인당_만원,교원1인당_학생수,학력향상_억원,학력향상_세출비중,학력향상_학생당_천원,누리과정_억원,누리과정_학생당_천원,누리과정_세출비중,다문화이탈주민_억원,다문화이탈주민_학생당_천원,다문화이탈주민_세출비중,돌봄교실_억원,돌봄교실_학생당_천원,돌봄교실_세출비중,미달률_중_실측,미달률_고_실측,실측미달률,위험도_pct,위험도_점수
2023,강원,중,1622,86,36873,224,0,991,1075,0.6,1305,1201,51,53,50,56.16445637729504,20.244596317088384,1601,219,750,22.73304562268804,5.30209617755857,3.5391750061020257,0.13831258644536654,0.14373660944322406,0.13560057494643776,0.0,69.69869552246902,34426.0,72.6,32.4,12.71,60.30822,0.1455715705369507,42.17977465222165,957.0630368,669.3731504626553,2.3101522374535253,16.6010422,11.610825505843517,0.040071482554189,115.4613627,80.75407066772043,0.2786998506103397,,,,6.361,29.4
2024,강원,중,1631,91,36830,214,0,998,867,0.6,1351,1244,44,63,34,56.16779799076839,20.286206896551725,1625,190,752,22.581238503985286,5.579399141630901,3.6682052674450176,0.11946782514254684,0.17105620418137388,0.09231604670105892,0.0,69.69861525929949,34426.0,73.4,33.9,12.5,174.11502,0.4384774736205897,125.10599680974894,1009.1242594,725.0810204492218,2.541298595784331,18.39137,13.21465934729188,0.0463153693117429,307.1562,220.6994122465403,0.7735178423027524,,,,6.475,30.03
2012,강원,초,4374,210,88865,362,0,8002,8107,0.4,1591,1520,48,23,234,67.0331289033928,17.246621279468858,0,0,0,20.316643804298124,4.801097393689986,1.790356158217521,0.05401451640128284,0.025881955775614696,0.2633207674562539,0.0,0.0,22973.0,64.5,18.2,17.75,,,,,,,,,,,,,3.1,2.5,,,
2013,강원,초,4361,211,83187,294,0,6775,6847,0.3,1694,1597,40,57,208,70.30204238643057,18.54552995059324,0,0,0,19.075212107314837,4.838339830314148,2.0363758760383233,0.04808443627009028,0.06852032168487865,0.25003906860446945,0.0,0.0,24094.0,61.9,17.2,17.26,42.9094306,0.1856225233058637,22.056527657124647,,,,,,,,,,4.666666666666667,3.3000000000000003,,,
2014,강원,초,4321,208,80458,289,0,6044,5888,0.3,1920,1828,56,36,180,73.09792686867682,19.41342066668324,0,0,0,18.620226799352,4.8137005322841935,2.3863382137264164,0.06960153123368715,0.044743841507370305,0.2237192075368515,0.0,0.0,25676.0,60.9,16.7,16.75,52.0041507,0.2172370104724945,27.6018803341684,,,,,,,,,,4.716666666666667,3.85,,,
2015,강원,초,4342,211,78414,297,0,5291,5288,0.4,2177,2024,78,75,181,75.29177187747086,20.484709363123933,4592,241,1081,18.059419622293873,4.859511745739291,2.7762899482235315,0.09947203305532175,0.09564618563011708,0.2308261279873492,0.0,75.42020557553498,26946.0,62.2,17.1,16.23,44.1939177,0.1827252034234681,24.37303469499181,,,,,,,,,,4.766666666666667,4.4,,,
2016,강원,초,4277,210,76772,239,0,5201,5217,0.3,2542,2208,110,224,157,75.90508258219143,21.10740895118012,4564,245,1091,17.949964928688335,4.909983633387888,3.311103006304382,0.14328140467878914,0.2917730422549888,0.20450164122336267,0.0,76.85093523680509,28328.0,61.4,18.4,15.84,50.2639982,0.201961588563117,28.83978621469186,,,,,,,,,,5.3,4.933333333333334,,,
2017,강원,초,4280,206,75722,308,0,5254,5223,0.4,2619,2444,97,78,143,77.0209846543937,21.436821531391143,4552,237,1103,17.692056074766356,4.813084112149533,3.45870420749584,0.12810015583317927,0.10300837273183487,0.18884868334169724,0.0,77.81094001743219,29925.0,65.5,20.3,15.3,57.7572547,0.1997159538307797,34.462397267221576,,,,,,,,,,,,,,
2018,강원,초,4271,215,75412,396,0,4591,4415,0.5,2794,2659,64,71,171,77.19642762425079,21.65331777435952,4565,255,1122,17.656754858346993,5.033949894638258,3.7049806396859917,0.0848671298997507,0.09414947223253593,0.2267543627008964,0.0,78.7938259162998,30856.0,65.8,20.5,14.85,61.1539892,0.1955932475956233,37.8592145112363,,,,,,,,,,,,,,
2019,강원,초,4292,217,75617,324,0,4470,4400,0.4,3070,2893,83,94,149,76.55554967798247,21.75944562730603,4575,252,1114,17.618126747437092,5.05591798695247,4.0599336128119345,0.10976367747993175,0.12431067088088657,0.19704563788566065,0.0,78.56698890461139,32192.0,65.7,22.0,14.39,62.338064,0.1835167301566741,39.98900749255876,,,,,,,,,,,,,,
2020,강원,초,4246,217,73478,318,0,5442,5623,0.4,3155,2979,74,102,114,78.4355725523286,22.83487574512099,4654,246,1100,17.30522845030617,5.110692416391898,4.293802226516781,0.10071041672337298,0.13881706088897358,0.1551484798170881,0.0,81.6570946405727,32026.0,63.6,22.6,13.87,64.9443153,0.1992951646362046,42.97532775277924,,,,,,,,,,,,,,
2021,강원,초,4256,219,72373,213,0,5054,4937,0.3,3192,2985,89,118,80,79.13709532560485,23.50853218741796,4669,238,1091,17.004934210526315,5.1456766917293235,4.4104845729761095,0.12297403727909581,0.1630442292014978,0.11053846047559172,0.0,82.8762107415749,33679.0,69.7,26.6,13.46,183.5745167,0.5177048523236499,123.5077550896834,,,,,,,,,,,,,,
2022,강원,초,4257,221,71530,277,0,5390,4348,0.4,3117,2916,76,125,78,79.93903257374528,23.85996085558507,4701,235,1062,16.802912849424477,5.191449377495889,4.357612190689221,0.10624912624073815,0.1747518523696351,0.10904515587865232,0.0,83.85292884104571,34426.0,70.3,29.6,13.14,87.11481,0.2588422537019143,59.556315929802494,1044.8827831,714.3374259774531,3.1046364496683463,14.6826151,10.03781634341266,0.0436261203200897,102.8571028,70.31858429101749,0.3056169702717767,,,,,
2023,강원,초,4231,228,69298,341,0,3929,3848,0.5,3018,2733,116,169,135,81.58039193050304,24.64770989061733,4694,214,1068,16.37863389269676,5.388796974710471,4.355104043406737,0.16739299835493088,0.2438742820860631,0.19481081705099715,0.0,86.23625501457474,34426.0,72.6,32.4,12.71,60.30822,0.1455715705369507,42.17977465222165,957.0630368,669.3731504626553,2.3101522374535253,16.6010422,11.610825505843517,0.040071482554189,115.4613627,80.75407066772043,0.2786998506103397,,,,,
2024,강원,초,4139,229,65669,333,0,4241,3862,0.5,2958,2620,150,188,110,85.55638124533645,26.05230778601776,4674,226,1058,15.865909640009663,5.5327373761778205,4.504408472795383,0.22841827955351843,0.2862842437070764,0.16750673833924684,0.0,90.72774063865751,34426.0,73.4,33.9,12.5,174.11502,0.4384774736205897,125.10599680974894,1009.1242594,725.0810204492218,2.541298595784331,18.39137,13.21465934729188,0.0463153693117429,307.1562,220.6994122465403,0.7735178423027524,,,,,
2012,경기,고,13477,434,462490,9175,0,6168,6522,2.0,844,623,160,61,1445,19.57273022119397,11.960154814158145,0,0,0,34.316984492097646,3.2203012539882767,0.18249043222556163,0.034595342602002206,0.013189474367013341,0.3124391878743324,0.0,0.0,26007.0,70.9,24.9,19.57,,,,,,,,,,,,,2.6666666666666665,4.666666666666667,4.666666666666667,3.084,11.42
2013,경기,고,13796,505,460580,9058,8695,5899,6499,2.0,1134,837,197,100,1265,20.230031699161927,12.44500846758435,0,0,0,33.385039141780226,3.6604812989272255,0.24621129879716877,0.042772156845716267,0.021711754744018413,0.2746536975118329,1.887837074992401,0.0,27492.0,72.0,25.3,19.05,41.5539042,0.0375275710970025,2.5056336305843097,,,,,,,,,,3.7,4.766666666666667,4.766666666666667,3.431,13.33
2014,경기,고,14160,534,452698,7943,7607,5668,6249,1.7,1538,1183,235,120,1116,20.76197376617524,13.000134747668424,0,0,0,31.970197740112994,3.7711864406779663,0.33974084268099264,0.05191098701562631,0.02650773805053258,0.246521963869953,1.6803696945866782,0.0,28638.0,72.8,26.0,18.24,68.3744098,0.0563211256908921,4.207933063900208,,,,,,,,,,3.533333333333333,5.083333333333334,5.083333333333334,3.696,14.78
2015,경기,고,14388,541,444554,6768,6549,4587,4809,1.5,1678,1276,251,151,1118,21.392591226262727,13.597252527252031,14251,1543,4763,30.89755351681957,3.76007784264665,0.377456956860134,0.05646108234320239,0.0339666272263887,0.2514880082059772,1.4731618656001295,46.241851383633936,30748.0,72.3,26.5,17.9,31.931158,0.0255723399484247,2.011129019356651,,,,,,,,,,3.3666666666666667,5.400000000000001,5.400000000000001,3.927,16.05
2016,경기,고,14640,591,440319,5885,5701,4732,5238,1.3,2151,1419,379,353,1025,21.996052861675285,14.073910051576243,14678,1416,4824,30.076434426229508,4.036885245901639,0.48850946700006137,0.0860739600153525,0.08016915009345497,0.2327857757671143,1.2947431294129939,47.50646690240485,32336.0,71.5,27.9,17.47,35.2813563,0.0264012843192277,2.278008078611502,,,,,,,,,,3.8,5.7,5.7,4.968,21.76
2017,경기,고,14644,598,422839,6366,6170,4817,5329,1.4,2271,1532,389,350,984,22.91864515808617,14.791759984296624,14715,1256,4819,28.874556132204315,4.083583720295001,0.5370838546113297,0.09199719041999438,0.0827738217146479,0.2327126873348958,1.4591842285125072,49.16765009850084,35307.0,74.0,28.7,16.96,41.0210385,0.028932064619421,2.6923122386186726,,,,,,,,,,,,,5.35,23.86
2018,경기,고,14570,619,393008,6952,6742,4730,5257,1.6,2483,1640,400,443,821,24.697789866872935,16.0003078817734,14594,1335,4775,26.973781743308166,4.248455730954015,0.6317937548345072,0.1017790986443024,0.11272035174856491,0.20890159996743068,1.7154867076497171,52.68086145829093,36821.0,76.1,32.1,16.57,63.0786708,0.0398050538591144,4.194213937344784,,,,,,,,,,,,,6.29,29.02
2019,경기,고,14325,556,364168,6998,6834,4372,4822,1.8,2583,1673,351,559,689,26.70461709980009,17.323803848773093,14455,1449,4863,25.421849912739965,3.8813263525305413,0.7092880209134246,0.09638408646558731,0.1535005821488983,0.1891983919509677,1.876606401441093,57.02587816612113,36064.0,78.3,35.8,16.15,70.4618335,0.0402209259248688,4.738701222103859,,,,,,,,,,,,,7.209,34.06
2020,경기,고,14182,556,350199,6919,6786,4337,4680,1.9,2875,1734,395,746,621,28.053172624707667,18.25966093563945,14450,1534,4925,24.69320265124806,3.9204625581723307,0.8209617960074128,0.11279301197319239,0.2130217390683583,0.1773277479376012,1.9377553905065408,59.706052844239984,36521.0,68.4,31.6,15.81,150.6709049,0.0869688392295393,10.216036300714585,,,,,,,,,,,,,7.858,37.62
2021,경기,고,14032,549,345024,3821,3758,3417,3775,1.1,3353,1912,474,967,222,28.832521795585237,18.779308106102764,14504,1538,4950,24.58836944127708,3.91248574686431,0.9718164533481729,0.13738174735670564,0.2802703580040809,0.06434335002782415,1.0891995919124466,60.84214431459841,38879.0,77.6,39.3,15.47,743.0247442,0.4013421255840333,49.954332920086486,,,,,,,,,,,,,8.956,43.64
2022,경기,고,13991,526,340895,5640,5569,3864,4300,1.6,4161,2259,577,1325,326,29.09616157467842,19.113539359626863,14444,1594,4981,24.365306268315347,3.759559716960904,1.2206104518986785,0.16926032942694966,0.3886827322195984,0.09563061939893516,1.633640857155429,61.65828187565086,39969.0,82.1,44.6,14.98,1436.89592,0.7485430472442876,96.52757180303992,11068.1263979,743.5328827424146,5.7658797313371215,107.3579822,7.212077918239188,0.0559275519008961,470.9867388,31.63987426994477,0.2453579579187623,,,,11.799,59.24
2023,경기,고,14002,529,349119,7110,7040,3810,4067,2.1,5161,2809,656,1696,356,28.5118312094157,18.769568542531346,14441,1586,5004,24.93350949864305,3.778031709755749,1.4782925019835644,0.18790154646409965,0.4857942420779161,0.10197096119088335,2.0165044010781425,60.240204629367064,39969.0,81.9,46.9,14.87,1534.23405,0.6869342414629195,103.61615530597224,10531.7475296,711.2729558246493,4.715459157307031,128.3897919,8.670943404763996,0.0574849347858031,532.069991,35.93392209037678,0.2382277304253333,,,,13.875,70.63
2024,경기,고,14116,546,360516,7646,7568,4213,4502,2.2,6667,3713,768,2186,383,27.639247633946898,18.32487878485282,14487,1582,5094,25.53952961178804,3.8679512609804476,1.8492937900120938,0.2130279932097327,0.6063531160891611,0.10623661640537452,2.0992133497542413,58.70197161845798,39969.0,82.7,51.3,14.41,370.78152,0.1680982292431666,25.27410754028006,10813.2313554,737.0776519129322,4.902307545530928,165.7158371,11.29592404711252,0.0751292534052372,1736.2492928,118.3504273432031,0.7871493478002364,,,,16.535,85.23
2012,경기,중,13397,597,463600,5042,0,17065,17075,1.1,1965,1551,304,110,2531,17.96141932700604,10.274273080241588,0,0,0,34.60476226020751,4.456221542136299,0.42385677308024156,0.06557377049180328,0.02372735116479724,0.5459447799827438,0.0,0.0,26007.0,70.9,24.9,19.57,,,,,,,,,,,,,2.6666666666666665,4.666666666666667,2.6666666666666665,2.545,8.47
2013,경기,중,13533,627,458220,4917,0,14624,14730,1.1,2340,1758,335,247,2435,18.374280913098517,10.5655558465366,0,0,0,33.85945466637109,4.633119042340944,0.5106717297368076,0.07310898694950024,0.05390423813888526,0.5314041290209943,0.0,0.0,27492.0,72.0,25.3,19.05,41.5539042,0.0375275710970025,2.5056336305843097,,,,,,,,,,3.7,4.766666666666667,3.7,2.736,9.51
2014,경기,중,13718,648,439888,4317,0,12895,12884,0.9,2848,2083,463,302,2264,19.085628614556438,11.218703397228383,0,0,0,32.066481994459835,4.72372065898819,0.6474375295529771,0.10525406467100716,0.06865383915905866,0.5146764630996981,0.0,0.0,28638.0,72.8,26.0,18.24,68.3744098,0.0563211256908921,4.207933063900208,,,,,,,,,,3.533333333333333,5.083333333333334,3.533333333333333,3.048,11.23
2015,경기,중,13343,650,409810,3650,0,11766,11496,0.8,3072,2174,451,447,1815,20.543076059637396,12.366765086259486,13709,1366,4212,30.713482725024356,4.8714681855654645,0.7496156755569654,0.1100509992435519,0.10907493716600376,0.4428881676874649,0.0,47.06327322417705,30748.0,72.3,26.5,17.9,31.931158,0.0255723399484247,2.011129019356651,,,,,,,,,,3.3666666666666667,5.400000000000001,3.3666666666666667,3.261,12.4
2016,경기,중,12843,650,381082,3175,0,11281,11453,0.8,3805,2483,580,742,1641,21.75433896116846,13.517324355388078,13492,1456,4299,29.672350696877675,5.061122790625244,0.99847276964013,0.15219821455749682,0.1947087503476942,0.43061598291181424,0.0,50.50619026876105,32336.0,71.5,27.9,17.47,35.2813563,0.0264012843192277,2.278008078611502,,,,,,,,,,3.8,5.7,3.8,4.013,16.52
2017,경기,중,12609,655,366856,2860,0,9734,10614,0.8,3934,2620,559,755,1575,22.770700220249907,14.290757136315069,13463,1453,4404,29.094773574430963,5.194702196843524,1.0723553655930391,0.15237586409926512,0.2058028218156443,0.42932376736376127,0.0,52.66371546328805,35307.0,74.0,28.7,16.96,41.0210385,0.028932064619421,2.6923122386186726,,,,,,,,,,,,,4.036,16.65
2018,경기,중,12369,654,358438,2974,0,9857,10654,0.8,4395,2911,564,920,1566,23.775188456581056,14.711657246162517,13277,1450,4476,28.97873716549438,5.287412078583556,1.226153477030895,0.15734938817870875,0.2566692147595958,0.43689564164513806,0.0,53.57411881552737,36821.0,76.1,32.1,16.57,63.0786708,0.0398050538591144,4.194213937344784,,,,,,,,,,,,,4.381,18.54
2019,경기,중,12309,654,353032,3280,0,10511,11231,0.9,5322,3253,674,1395,1560,24.09167724172313,15.072035962745586,13024,1485,4535,28.680802664716875,5.313185474043383,1.507512066894786,0.19091753722042193,0.395148315166897,0.441886287928573,0.0,53.94411838020349,36064.0,78.3,35.8,16.15,70.4618335,0.0402209259248688,4.738701222103859,,,,,,,,,,,,,5.377,24.01
2020,경기,중,12665,671,362917,3432,0,10453,10858,1.0,6435,3816,741,1878,1640,23.92889834314733,15.048118440304531,13323,1492,4603,28.65511251480458,5.298065534938807,1.7731326997633068,0.20417891694244136,0.5174736923318555,0.45189395922483655,0.0,53.505346952609,36521.0,68.4,31.6,15.81,150.6709049,0.0869688392295393,10.216036300714585,,,,,,,,,,,,,6.379,29.5
2021,경기,중,13144,679,378472,2036,0,9484,10275,0.6,8116,4854,914,2348,759,23.2195671013972,14.752803377792809,13690,1408,4740,28.794278758368836,5.165855143031041,2.144412268278763,0.2414973895030544,0.6203893550909975,0.20054323701621254,0.0,52.41603077638504,38879.0,77.6,39.3,15.47,743.0247442,0.4013421255840333,49.954332920086486,,,,,,,,,,,,,6.907,32.4
2022,경기,중,13711,705,380345,2473,0,10388,10918,0.7,9529,5747,951,2831,897,23.261210217039796,15.073754091679922,14106,1357,4754,27.740135657501277,5.141856903216396,2.5053569785326477,0.25003615138887064,0.7443242319473109,0.2358385150324048,0.0,53.15437300345739,39969.0,82.1,44.6,14.98,1436.89592,0.7485430472442876,96.52757180303992,11068.1263979,743.5328827424146,5.7658797313371215,107.3579822,7.212077918239188,0.0559275519008961,470.9867388,31.63987426994477,0.2453579579187623,,,,7.733,36.93
